"total_count","id","memb_id","device_desc","get_time","heart_rate","create_dttm"
196,190,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-22 18:15:45",66,"2023-10-19 00:18:30"
196,189,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-21 18:41:23",54,"2023-10-19 00:18:30"
196,188,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-21 14:33:16",53,"2023-10-19 00:18:30"
196,187,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-20 01:56:53",62,"2023-10-19 00:18:30"
196,186,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-19 23:42:04",65,"2023-10-19 00:18:30"
196,185,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-19 01:22:50",63,"2023-10-19 00:18:30"
196,184,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-15 19:19:25",63,"2023-10-19 00:18:30"
196,183,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-14 15:11:44",59,"2023-10-19 00:18:30"
196,182,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-13 23:34:23",71,"2023-10-19 00:18:30"
196,181,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-13 01:39:58",69,"2023-10-19 00:18:30"
196,180,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-12 20:39:31",67,"2023-10-19 00:18:30"
196,179,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-11 17:28:08",65,"2023-10-19 00:18:30"
196,178,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-11 17:24:41",67,"2023-10-19 00:18:30"
196,177,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-11 17:23:28",66,"2023-10-19 00:18:30"
196,176,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-08 17:07:36",69,"2023-10-19 00:18:30"
196,175,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-07 19:44:45",63,"2023-10-19 00:18:30"
196,174,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-07 19:27:44",63,"2023-10-19 00:18:30"
196,173,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-07 01:05:59",69,"2023-10-19 00:18:30"
196,172,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-06 16:35:57",79,"2023-10-19 00:18:30"
196,171,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-06 00:53:28",66,"2023-10-19 00:18:30"
196,170,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-03 23:15:55",63,"2023-10-19 00:18:30"
196,169,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-02 22:08:04",84,"2023-10-19 00:18:30"
196,168,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-02 20:33:02",72,"2023-10-19 00:18:30"
196,167,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-01 20:15:55",59,"2023-10-19 00:18:30"
196,166,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-09-01 03:48:25",62,"2023-10-19 00:18:30"
196,165,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-31 16:36:45",73,"2023-10-19 00:18:30"
196,164,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-30 03:31:16",57,"2023-10-19 00:18:30"
196,163,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-30 03:26:58",59,"2023-10-19 00:18:30"
196,162,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-30 03:26:07",59,"2023-10-19 00:18:30"
196,161,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-30 01:45:33",63,"2023-10-19 00:18:30"
196,160,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-29 22:14:13",81,"2023-10-19 00:18:30"
196,159,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-28 23:14:18",64,"2023-10-19 00:18:30"
196,158,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-28 20:14:15",58,"2023-10-19 00:18:30"
196,157,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-28 02:42:06",66,"2023-10-19 00:18:30"
196,156,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-27 17:37:24",90,"2023-10-19 00:18:30"
196,155,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-27 17:03:05",129,"2023-10-19 00:18:30"
196,154,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-24 16:49:39",60,"2023-10-19 00:18:30"
196,153,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-23 18:10:47",61,"2023-10-19 00:18:30"
196,152,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-22 22:12:07",80,"2023-10-19 00:18:30"
196,151,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-22 21:26:48",65,"2023-10-19 00:18:30"
196,150,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-22 21:02:45",83,"2023-10-19 00:18:30"
196,149,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-14 03:08:45",55,"2023-10-19 00:18:30"
196,148,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-12 03:59:41",56,"2023-10-19 00:18:30"
196,147,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-09 21:51:30",59,"2023-10-19 00:18:30"
196,146,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-02 17:16:13",69,"2023-10-19 00:18:30"
196,145,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-01 22:52:47",62,"2023-10-19 00:18:30"
196,144,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-01 22:52:22",67,"2023-10-19 00:18:30"
196,143,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-01 02:57:44",54,"2023-10-19 00:18:30"
196,142,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-08-01 02:57:18",59,"2023-10-19 00:18:30"
196,141,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-31 21:32:06",64,"2023-10-19 00:18:30"
196,140,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-31 19:34:21",62,"2023-10-19 00:18:30"
196,139,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-31 18:33:55",63,"2023-10-19 00:18:30"
196,138,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-29 19:06:28",86,"2023-10-19 00:18:30"
196,137,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-29 00:29:45",76,"2023-10-19 00:18:30"
196,136,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-28 22:48:14",57,"2023-10-19 00:18:30"
196,135,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-28 21:49:11",64,"2023-10-19 00:18:30"
196,134,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-26 23:29:57",69,"2023-10-19 00:18:30"
196,133,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-26 23:27:02",63,"2023-10-19 00:18:30"
196,132,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-26 01:07:32",85,"2023-10-19 00:18:30"
196,131,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-25 02:24:51",69,"2023-10-19 00:18:30"
196,130,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-24 15:42:09",58,"2023-10-19 00:18:30"
196,129,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-24 15:38:36",55,"2023-10-19 00:18:30"
196,128,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-22 10:42:13",62,"2023-10-19 00:18:30"
196,127,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-22 03:47:36",60,"2023-10-19 00:18:30"
196,126,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-22 01:38:38",84,"2023-10-19 00:18:30"
196,125,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-21 02:32:06",66,"2023-10-19 00:18:30"
196,124,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-19 21:03:37",60,"2023-10-19 00:18:30"
196,123,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-19 21:02:28",64,"2023-10-19 00:18:30"
196,122,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-19 19:51:28",60,"2023-10-19 00:18:30"
196,121,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-19 19:45:25",62,"2023-10-19 00:18:30"
196,120,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-17 17:03:52",64,"2023-10-19 00:18:30"
196,119,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-14 23:48:15",79,"2023-10-19 00:18:30"
196,118,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-12 16:59:36",72,"2023-10-19 00:18:30"
196,117,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-11 18:29:15",68,"2023-10-19 00:18:30"
196,116,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-11 17:40:39",69,"2023-10-19 00:18:30"
196,115,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-11 17:16:08",72,"2023-10-19 00:18:30"
196,114,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-11 00:20:07",66,"2023-10-19 00:18:30"
196,113,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 20:14:10",68,"2023-10-19 00:18:30"
196,112,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 20:12:36",70,"2023-10-19 00:18:30"
196,111,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 20:11:48",59,"2023-10-19 00:18:30"
196,110,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 20:11:17",58,"2023-10-19 00:18:30"
196,109,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 20:10:53",62,"2023-10-19 00:18:30"
196,108,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 17:41:38",64,"2023-10-19 00:18:30"
196,107,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-10 17:41:06",71,"2023-10-19 00:18:30"
196,106,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-08 01:21:06",60,"2023-10-19 00:18:30"
196,105,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-07 23:44:12",76,"2023-10-19 00:18:30"
196,104,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-06 17:35:26",67,"2023-10-19 00:18:30"
196,103,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-04 17:07:53",66,"2023-10-19 00:18:30"
196,102,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-03 19:45:34",67,"2023-10-19 00:18:30"
196,101,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-03 16:49:06",74,"2023-10-19 00:18:30"
196,100,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-02 20:24:21",73,"2023-10-19 00:18:30"
196,99,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-07-02 07:54:14",86,"2023-10-19 00:18:30"
196,98,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-29 15:47:39",83,"2023-10-19 00:18:30"
196,97,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-29 15:47:13",81,"2023-10-19 00:18:30"
196,96,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-29 15:46:55",76,"2023-10-19 00:18:30"
196,95,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-29 15:46:35",55,"2023-10-19 00:18:30"
196,94,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-28 22:21:51",69,"2023-10-19 00:18:30"
196,93,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-27 17:44:02",72,"2023-10-19 00:18:30"
196,92,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-06-27 02:02:37",66,"2023-10-19 00:18:30"
